,id,coco_url,caption_0,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6
16,1532,http://images.cocodataset.org/val2017/000000001532.jpg,A street scene with focus on the street signs on an overpass.,Some cars on the freeway are exiting onto Sunset Blvd.,Many cars traveling on a busy road with exit signs overhead.,California traffic goes by road signs on an overpass indicating famous Hollywood streets.,Cars and trucks driving under the underpass with street signs directing them where to go,,
17,1584,http://images.cocodataset.org/val2017/000000001584.jpg,a red double decker bus that is in the middle of the road,"The red, double decker bus is driving past other buses. ",A red bus is driving on the road.,A double decker bus rolls along the streets.,A red double decker bus driving down a city street.,,
18,1675,http://images.cocodataset.org/val2017/000000001675.jpg,A black cat is sitting on a metal platform. ,A black fluffy cat sitting on top of a computer keyboard.,A black and white cat relaxing inside a laptop.,The large cat is resting comfortably behind the laptop screen. ,A cat resting on an open laptop computer.,,
19,1761,http://images.cocodataset.org/val2017/000000001761.jpg,A sky photo to jumbo jet airplanes over a bridge.,Two planes flying in the sky over a bridge.,two jets are flying over a bridge and some water,Two airplanes flying in the sky above a black bridge.,"Two planes fly over a bridge in Sydney, Australia, with the Sydney Opera House in the background.",,
20,1818,http://images.cocodataset.org/val2017/000000001818.jpg,A zebra in the grass who is cleaning himself. ,A baby giraffe drinking milk from it's mother in a field.,A baby zebra is suckling milk from its mother.,a baby zebra nursing from an adult zebra,Baby zebra sucking milk from its mothers teat. ,,
21,1993,http://images.cocodataset.org/val2017/000000001993.jpg,A bedroom with a bed and small table near by.,"A bed room that has a table, chairs, and bed in it.",View of an apartment room with a bed an table and a view out the window.,A simple modern bedroom sheets on the bed,"A room with purple walls, carpet and bed comforter.",,
22,2006,http://images.cocodataset.org/val2017/000000002006.jpg,a big purple bus parked in a parking spot,City bus driving through pedestrian saturated area near crosswalk.,a big purple public bus called south tyne,A purple bus can't be missed on the city streets.,A city bus drives through a city area.,,
23,2149,http://images.cocodataset.org/val2017/000000002149.jpg,A white bowl of green granny smith apples.,A white bowl filled with green Granny Smith apples.,A bowl filled with many shiny  green apples.,A bowl full of fresh green apples are kept.,A large white bowl of many green apples. ,,
24,2153,http://images.cocodataset.org/val2017/000000002153.jpg,A baseball player with a bat in his hand as the pitcher gets ready to throw the ball. ,A baseball player swinging a bat over home plate.,A baseball game where the batter is waiting for the pitch.,Batter preparing to swing at pitch during major game.,there is a male tennis player that is at base,,
25,2157,http://images.cocodataset.org/val2017/000000002157.jpg,a close up of a table with many plates of food,A plate of finger foods next to a blue and raspberry topped cake.,A nicely set dining table filled with food and a cake topped with berries.,A table topped with a cake covered in berries next to a plate of sandwiches.,A white cake topped with berries and a plate of fruit and cheeses.,,
26,2261,http://images.cocodataset.org/val2017/000000002261.jpg,A young man is body surfing and paddling in the water.,A man in a black shirt plays on an ocean wave.,A boy riding a boogie board in the ocean waves.,A man on a blue raft attempting to catch a ride on a large wave.,The boy is looking back at a wave in the ocean. ,,
27,2299,http://images.cocodataset.org/val2017/000000002299.jpg,A group of children standing next to each other.,A group of children standing and sitting beside each other. ,A vintage school picture of grade school aged children.,A black and white photo of a group of kids.,Many small children are posing together in the black and white photo. ,,
28,2431,http://images.cocodataset.org/val2017/000000002431.jpg,A meal of burnt toast slices with condiments on the side.,a tray of food on a wooden table,A tray of food on the top of a table.,A plate on a wooden table full of bread.,"A table with a plate, wine-filled glass, and bread, among other items",,
29,2473,http://images.cocodataset.org/val2017/000000002473.jpg,A person in skis flies in the air from doing a trick.,a person on skis is doing a twist during a jump,A skier is jumping while other skiers watch.,A man flying through the air while riding skis.,a snow skier is doing an aerial trick,,
30,2532,http://images.cocodataset.org/val2017/000000002532.jpg,A person standing on skiis on the snowy slope. ,A person standing on top of a ski covered slope.,A skier stands on skis at the top of a snowy plateau.,A person on skis and with poles in the snow and facing the blue sky.,A person is skiing on a snowy hill top.,,
31,2587,http://images.cocodataset.org/val2017/000000002587.jpg,a banana and a chocolate frosted donut sitting in a baggie,Closeup of a bag containing a banana and a doughnut.,A banana and donut in the same plastic bag.,A banana and donut in a sandwich bag.,a close up of a banana and a doughnut in a plastic bag,,
32,2592,http://images.cocodataset.org/val2017/000000002592.jpg,Decorated coffee cup and knife sitting on a patterned surface.,A large knife is sitting in front of a mug has a skull and crossbones.,a white mug  showing pirate skull and bones and a large knife on a counter top.,There is a white coffee cup with a skull and bones on it next to a knife,a close up of a knife and a cup on a surface,,
33,2685,http://images.cocodataset.org/val2017/000000002685.jpg,A crowd of people stand near a man behind a bar with wine bottles on it.,A group of people standing around each other.,Many people line up to taste some wine. ,a couple of people are standing in front of some wine bottles,The group of people is standing at a wine bar. ,,
34,2923,http://images.cocodataset.org/val2017/000000002923.jpg,ships in the distance behind a grassy marsh with egrets,A couple of birds that are walking in a field.,Several ships in the distance behind a grassy marsh with egrets,A marsh area with egrets and shrimp boats,An overcast day at dock with sea birds resting in the nearby marsh. ,A couple of birds walk through a field of tall grass near a sail boat harbor.,
35,3156,http://images.cocodataset.org/val2017/000000003156.jpg,A man is kneeling and holding on to a toilet.,A man wears gloves as he installs a toilet.,A man attempting to lift up a toilet off the floor.,A young man bending next to a toilet.,A man fixing a toilet in a black and white photo.,,
36,3255,http://images.cocodataset.org/val2017/000000003255.jpg,Skiers look at the snow that they skied down.,A group of people stand at the bottom of a snowy hill.,The paths of some snowboarders carved in a mountain slope.,a group of people riding skis on a snowy surface,A group of skiers have left a trail through the snow on the mountain. ,,
37,3501,http://images.cocodataset.org/val2017/000000003501.jpg,The meal in the bowl has rice and broccoli in it.,"Looking down at a bowl of white rice, broccoli and a vegetable dish","A bean and corn mixture, rice, and broccoli on a plate","A plate of broccoli, rice, meat and other vegetables","A bowl with rice, broccoli and a purple relish.",,
38,3553,http://images.cocodataset.org/val2017/000000003553.jpg,A skateboarder is riding on boards that have been placed over grass.,"Legs on a skateboard going down a small ramp,",A man riding a skateboard on piece of concrete in a park.,A person wearing sneakers balancing on a skateboard on a wooden platform.,a person skating on some pieces of wood ,,
39,3661,http://images.cocodataset.org/val2017/000000003661.jpg,A closeup of a group of bananas on a table ,A bunch of bananas sitting on top of a wooden table.,Close up of a bunch of bananas on a wooden counter.,A bunch of bananas very close up on a table.,The four huge bananas are still connected together.,,
40,3845,http://images.cocodataset.org/val2017/000000003845.jpg,a chicken meal with carrots broccoli and rice,"A plate of vegetables, chicken, and white rice.",A dinner plate that has white steamed rice with stir fry vegetables and chicken.,A plate of food and a drink on a table.,The food is prepared on the dish on the table. ,,
41,3934,http://images.cocodataset.org/val2017/000000003934.jpg,A young girl holding a controller playing a video game.,A young girl playing a video game while others talk.,A blurry photo of a girl concentrating next to what seems like party goers.,A young girl in the foreground and a woman in a bridal dress and other adults in the background. ,A little girl holding a white Nintendo Wii game controller.,,
42,4134,http://images.cocodataset.org/val2017/000000004134.jpg,Two men shaking hands after a dinner speech.,Two men standing next to each other holding hands.,Two men shake hands at a formal dinner gathering.,Two men are shaking hands at a social gathering.,A man is shaking hands with another man.,,
43,4395,http://images.cocodataset.org/val2017/000000004395.jpg,A man in a suit poses for the camera.,A young man wearing a white shirt and tie.,Man in a dress shirt and tie looks in front of him. ,A man in a suit and tie holding up a hand.,A man in a shirt and tie motioning with his hand.,,
44,4495,http://images.cocodataset.org/val2017/000000004495.jpg,A corner of a living room with a TV in it.,a room with a tv and some different types of couches,A living room with a couch and chair.,"A television, couch and chair in the corner of a room.","A very simple living area with a chair, sofa and TV.",,
45,4765,http://images.cocodataset.org/val2017/000000004765.jpg,A man in a yellow shirt and wetsuit surfing.,A surfer is riding on a small wave.,A man surfing on a large wave in the ocean.,A man riding a surfboard on a wave in the ocean.,a man in his wetsuit riding a big wave on his surfboard,,
46,4795,http://images.cocodataset.org/val2017/000000004795.jpg,A cat sitting in front of a computer monitor.,Gray cat looking at electronic monitor next to phone.,A cat is sitting and watching a computer screen.,A cat observing a computer screen next to a laptop and a cordless phone.,"A cat ""reading"" the text on a computer screen",,
47,5001,http://images.cocodataset.org/val2017/000000005001.jpg,A man cutting a ribbon at a ceremony ,A group of people cutting a ribbon on a street.,A man uses a pair of big scissors to cut a pink ribbon.,A group of people on the sidewalk watching two young children.,A group of people holding a large pair of scissors to a ribbon.,,
48,5037,http://images.cocodataset.org/val2017/000000005037.jpg,A bus is traveling down the city street.,A bus sitting still on the side of the road. ,A bus that is sitting on the street.,A passenger bus pulling up to the side of a street.,a bus stops to pick up some passengers,,
49,5060,http://images.cocodataset.org/val2017/000000005060.jpg,The man is meditating in front of the mirror.,A man in green shirt with cellphone reflecting in a mirror.,A man sitting cross legged in front of a mirror on the floor taking a self portrait ,a man sitting in a room taking a selfie in a mirror ,A man sitting on the floor taking a picture of himself in a mirror.,,
50,5193,http://images.cocodataset.org/val2017/000000005193.jpg,A group of people pose for a picture while a man holds two surfboards. ,Boys posing for a picture beside two surf boards. ,a group of people who are posing for a picture,A group of people in room with surfboards.,Man and boys holding two surfboards getting picture taken.,,
51,5477,http://images.cocodataset.org/val2017/000000005477.jpg,large mustard yellow commercial airplane parked in the airport,A brown LOT airliner sitting on the tarmac,"A gold colored, Polish airplane sitting on the runway. ",A large golden airplane is on the runway.,A brown jetliner sitting on top of an airport runway.,,
52,5503,http://images.cocodataset.org/val2017/000000005503.jpg,A person relieving themselves in a white toilet.,Point of view of a man peeing in an airplane restroom.,A person standing over a toilet using the restroom.,a man standing in front of a toilet taking a piss,A photo of a duvet style toilet shooting water.,,
53,5529,http://images.cocodataset.org/val2017/000000005529.jpg,A skier is in the snow going downhill.,A person on skis skiing down a mountain slope.,A MAN IS SKIING ON THE SNOW SLOPES,A person with green skis skiing down a big hill.,A person on skis is skiing down a snowy hill. ,,
54,5586,http://images.cocodataset.org/val2017/000000005586.jpg,A tennis player in a crowded arena waits for the next volley.,a man playing tennis hits a ball across the court,A man standing on a tennis court holding a racquet.,"Indoor tennis match, with a full crowd of spectators.",a tennis player with a racket on a court ,,
55,5600,http://images.cocodataset.org/val2017/000000005600.jpg,A pan filled with onions sitting next to a pan of stew.,some onions in a silver bowl and some meat in another and a spoon,"There are some appealing support ready to expend. 
",a close up of two bowls of food on a table ,"A plate has two bowls on it with two different types of food, one looks like pickled onions and the other looks like cooked meat. ",,
56,5992,http://images.cocodataset.org/val2017/000000005992.jpg,sheep standing around next to a brick wall ,A group of shaggy haired sheep standing beside a building.,A small group of sheep standing together next to a building.,Group of sheep standing next to a brick building. ,A herd of sheep standing on top of a green grass covered yard.,,
57,6012,http://images.cocodataset.org/val2017/000000006012.jpg,An apple sits in between a bunch of bananas,a yellow and red apple and some bananas,There are bananas around another piece of fruit. ,A bunch of bananas with an apple sitting in the middle.,Six bananas and a red fruit make an artistic sight paired with a blue background.,,
58,6040,http://images.cocodataset.org/val2017/000000006040.jpg,A five car blue and white train with passengers,An electric train is traveling down the track on a road.,A close-up of an electric train going by on the tracks.,A large white and blue train on a train track.,A blue and white train is moving on the rails. ,,
59,6213,http://images.cocodataset.org/val2017/000000006213.jpg,Nice and neat clean bathroom with shower in the corner.,a bathroom view of a tub and sink wit mirrors ,The bathroom had a tub with two sinks and a separate shower.,"A bathroom has two sinks, a bathtub, and a shower.",A shower curtain sits open in an empty and clean bathroom. ,,
60,6460,http://images.cocodataset.org/val2017/000000006460.jpg,A man riding a wave on top of a surfboard.,A man is surfing and a wave is crashing,There is a surfer jumping off of a wave,A man on a surfboard with a safety line attached whipping out.,a person riding a surf board on a wave,,
61,6471,http://images.cocodataset.org/val2017/000000006471.jpg,A hitter is waiting for the pitch to be thrown,A baseball player holding a bat next to a base.,A baseball player holds his bat and waits for the pitch. ,A man at bat waiting for a pitch with a catcher and umpire behind him and players from the opposing team in the dugout.,A baseball player in a batting stance at home plate with the catcher in position to catch a pitch.,,
62,6614,http://images.cocodataset.org/val2017/000000006614.jpg,A black and white image of a lot of round objects.,A pile of nuts in front of some assorted fruit.,a black and white photo of nuts and fruit,"Two apples, an orange, some grapes and peanuts.","Apples, grapes, an oranges and peanuts on the white surface in a picture.",,
63,6723,http://images.cocodataset.org/val2017/000000006723.jpg,A building lined street with three lanes and light traffic.,Row of buildings on empty street near side walk.,A street with light poles and businesses on both sides.,A street with a row of older red brick building on one side.,A bike and walking path running side by side near a city street.,,
64,6763,http://images.cocodataset.org/val2017/000000006763.jpg,A man and woman standing next to a table.,A man and woman hugging in a restaurant,A man and woman posing for a picture in a sports bar.,A happy man and woman pose for a picture.,A man and a women posing next to one another in front of a table.,,
65,6771,http://images.cocodataset.org/val2017/000000006771.jpg,A women in costume who is talking on a cell phone. ,A woman on a cell phone with a group of people.,The woman wearing a costume among others is using a cell phone.,A woman in a costume speaks on a cellphone. ,A woman dressed up in a costume talking on a cell phone.,,
66,6818,http://images.cocodataset.org/val2017/000000006818.jpg,"a shower room with two buckets, tolet paper holder and soap.",This picture looks like a janitors closet with buckets on the floor.,a couple of buckets in a white room,A standing toilet in a bathroom next to a window.,A bathroom with no toilets and a red and green bucket. ,,
67,6894,http://images.cocodataset.org/val2017/000000006894.jpg,An elephant using his truck to cuddle with a man.,A man getting a kiss on the neck from an elephant's trunk,A man being kiss by a baby elephant with it's trunk.,A man is playing with an elephant in a field.,A man throws his head back as an elephant touches his face with its trunk.,,
68,6954,http://images.cocodataset.org/val2017/000000006954.jpg,a bunch of kids sitting on grass holding a frisbe,A group of children sitting in the grass with two of them holding a Frisbee .,Five small boys sitting on the grass holding two frisbees,A group of young children sitting in the grass.,A group of children sitting on the grass with frisbees in their hands. ,,
69,7088,http://images.cocodataset.org/val2017/000000007088.jpg,A small child stands in the rain with an umbrella.,A little girl is holding an umbrella on a wet day.,A perfect pose by a little girl with an umbrella in the rain.,A little girl holding an umbrella in the rain. ,A little girl holding an umbrella while standing outside.,,
70,7108,http://images.cocodataset.org/val2017/000000007108.jpg,"A close up from knees up front view of an elephant with trunk forward, outside on dirt, with other elephants, grass, bushes and white-blue sky.",An elephant is seen head on amongst other elephants.,Several elephants walking together in a line near water.,A herd of elephants walking away from a watering hole.,Elephants walking along a dirt path next to water.,,
71,7278,http://images.cocodataset.org/val2017/000000007278.jpg,a man on a surf board rides a wave ,A man that is on a surfboard in the water.,A surfer in the ocean on the crest of a wave.,there is a male surfer that is riding in the wave,"A man in a wet suit riding a wave on a surf board.
",,
72,7281,http://images.cocodataset.org/val2017/000000007281.jpg,Two people on horseback are posing while the horses gallop on a beach shore.,Two men smile as they ride horses on the beach.,Two men are riding horses along the beach.,two guys horseback riding and playing on the beach.,Two people on horses on a beach readying for a picture,,
73,7386,http://images.cocodataset.org/val2017/000000007386.jpg,A motorcycle frame that has been made in to a tricycle. ,A motorcycle parked in front of an open garage.,a home made three wheeled trike sitting in a driveway,A tricycle sits outside of a garage. ,a small motor bike outside of the garage,,
74,7511,http://images.cocodataset.org/val2017/000000007511.jpg,A man is flying a kite at the beach.,A guys stands in the sand playing with a kite. ,People flying a kite on a sandy beach near a body of water.,A man flying a kite with two strings on a beach.,Man flying a kite on the beach while others run along the sand.,,
75,7574,http://images.cocodataset.org/val2017/000000007574.jpg,A kitchen with a very messy counter space.,A metallic refrigerator freezer sitting inside of a kitchen.,A kitchen that has black counters and wooden cabinets. ,a kitchen filled with assorted items like a bottle of dish soap ,"A kitchen with two sinks, a counter, detergent, a stove and a refrigerator in it.",,
76,7784,http://images.cocodataset.org/val2017/000000007784.jpg,There is a colorful parachute in the sky.,A large orange and white kite flying in a blue sky.,A large white and red parasail in the blue sky. ,a red and white parachute is in the sky,This is a large kite flying high in the sky.,,
77,7795,http://images.cocodataset.org/val2017/000000007795.jpg,a large modern hotel room with double beds,A hotel room with two beds side by side  .,A narrow hotel room with two made up beds.,A couple of large beds in a small room.,Two beds are in a hotel room type setting.,,
78,7816,http://images.cocodataset.org/val2017/000000007816.jpg,A guy on a motorcycle with some people watching.,A person on a motor bike travels around a sharp corner.,a rider dressed in white riding a matching white motorcycle ,A person on a motorcycles driving past a group of people behind a fence.,A person on a motor bike on a road.,,
79,7818,http://images.cocodataset.org/val2017/000000007818.jpg,Stemware is set face down on an elegantly set table.,An illuminated floral display forms the centerpiece of the arrangement in this close up of a dining room table setting.,A table topped with two wine glasses and a centerpiece.,"A fancy dinner setting, with a centerpiece and turned-over wine glasses.",A photo of the table with a vase and flour.,,
80,7888,http://images.cocodataset.org/val2017/000000007888.jpg,The image has a large cubed clock on a post.,A pedestal clock strikes 6:55 in a rainy sky.,Four sided clock up on a black post. ,We are looking up at a large square clock on a pole.,A poll that has a clock on the top of it.,,
81,7977,http://images.cocodataset.org/val2017/000000007977.jpg,A young man skateboarding at a public park.,A teenager is doing a wheelie on a skateboard.,A boy is doing a trick on his skateboard. ,a boy on a skateboard at a skatepark,A young man performing tricks on a skateboard.,,
82,7991,http://images.cocodataset.org/val2017/000000007991.jpg,Carrots and small green beans on a white plate. ,A plate on a table is filled with carrots and beans. ,A plate topped with baby carrots and beans next to a  peeler.,a plate that has some cut up vegetables on it,A plate that has a pile of carrots on a counter.,,
83,8021,http://images.cocodataset.org/val2017/000000008021.jpg,An audience is looking at an film of a man taking that is projected onto a wall. ,a large screen showing a person wearing a suit,People watching an on screen presentation of a gentleman in a suit.,People watch a man delivering a lecture on a screen.,A presenter projected on a large screen at a conference.,,
84,8211,http://images.cocodataset.org/val2017/000000008211.jpg,"Two men talking to each other on a street corner
",Two people are sitting on chairs talking on at a corner.,Two men setting next to each other on the street .,Street cleaners are taking a rest from work.,Two men sitting on the street in front of a building.,,
85,8277,http://images.cocodataset.org/val2017/000000008277.jpg,a close up of a plate of food on a carpeted floor,The meal consists of chopped chicken with cheese and brocolli.,A styrofoam plate with shredded chicken and a dish of broccoli with cheese sauce.,A white plate topped wti chicken and a cup of guacamole.,A plate of shredded chicken with a broccoli cheese sauce.,,
86,8532,http://images.cocodataset.org/val2017/000000008532.jpg,"A man with a plaid hat, tie, dress shirt and glasses on.",a man in a blue shirt and red tie,A man that has glasses and a hat.,Stylish man looking into camera with blurred background ,A man wearing a cat and sunglasses with a red neck tie.,,
87,8629,http://images.cocodataset.org/val2017/000000008629.jpg,Pictures of several different types of quiche prepared differently.,Several pictures containing several different types of pizza.,a close up of a slice of pizza on a plate,many different slices of pizza with a white sauce.,Six different pictures of single slices of pizza.,,
88,8690,http://images.cocodataset.org/val2017/000000008690.jpg,Two young girls petting goats in a pen.,Two small children petting animals at a zoo.,Two girls pet a goat that is in a pen.,This is an image of two girls with goats,The two young girls are petting the two goats.,,
89,8762,http://images.cocodataset.org/val2017/000000008762.jpg,A stoplight that is flashing green lights at cars.,Street lights and a lit up street sign at an intersection.,Twilight at a city intersection with lit street signs.,A dusky evening with a green street light shining.,A night scene with silhouettes of buildings and some traffic lights over a street,,
90,8844,http://images.cocodataset.org/val2017/000000008844.jpg,a black woman standing over a bushel of yellow bananas,Smiling lady standing by two bunches of bananas on a table.,An African woman is smiling above a large group of bananas. ,A middle aged black woman is standing behind a table full of bananas.,A woman smiling as she walks toward bunches of bananas. ,,
91,8899,http://images.cocodataset.org/val2017/000000008899.jpg,A red brick building with a graffiti covered front.,A fire hydrant on the side of the street.,a red bricked building with a green door and graffiti,The building in the city has been vandalized.,"A graffiti-ridden building in an urban setting, a fire hydrant at curbside.",,
92,9378,http://images.cocodataset.org/val2017/000000009378.jpg,Adult man displaying abilities using flying yellow disc.,A man spins a frisbee as the audience looks on.,A man holding onto a yellow frisbee while having long hair.,A man is doing a trick with a frisbee.,Man preforming a trick with a disk toy.,,
93,9400,http://images.cocodataset.org/val2017/000000009400.jpg,A group of people that are sitting in front of laptops.,A group of people gaze at laptop screens.,Sever people are sitting next to each other while using laptops.,many people in a room and using the laptops,A group of people sitting around a table using computers.,,
94,9448,http://images.cocodataset.org/val2017/000000009448.jpg,A little girl who is holding an umbrella.,A little girl holds up a big blue umbrella.,"A little girl with a big, blue umbrella",a young girl stands with her arms wrapped around a large blue umbrella,A girl in a pink shirt holding a blue umbrella.,,
95,9483,http://images.cocodataset.org/val2017/000000009483.jpg,Man in suit smiling next to electronics and monitors,A man standing near a table with video equipment. ,A man in a suit stands near a table with computer equipment on it.,"A man by desk with mixing equipment, a keyboard and a computer monitor.",A man in a suit standing next to a control board and computer.,,
96,9590,http://images.cocodataset.org/val2017/000000009590.jpg,A group of people sitting around a wooden table.,A group of men are sitting around a table.,A group of guys are sitting at a table eating and laughing.,A group of men sipping drinks and talking at a table.,A group of young males sitting around eating a meal.,,
97,9769,http://images.cocodataset.org/val2017/000000009769.jpg,The pick up truck is plowing the snow. ,A red pick up truck with a plow blade drives down a snowy suburban road. ,THERE IS A RED TRUCK THAT IS ON THE STREET ,A truck with a snow plow attached to the front.,The plow truck driver is talking to his neighbor.,,
98,9772,http://images.cocodataset.org/val2017/000000009772.jpg,a bathroom with a sink and television in it ,A beautiful bathroom and a guy is in bathroom.,A person is taking a picture of a hotel bathroom.,A person takes a picture in a hotel bathroom.,A view of a bathroom in what appears to be a hotel.,,
99,9891,http://images.cocodataset.org/val2017/000000009891.jpg,A man who is lifting up a piece of luggage.,The man is loading luggage suitcases onto the cart in the parking lot. ,Group of men taking their suitcases out of a car. ,Two men handling luggage in a parking structure.,Man unloading luggage onto an airport cart from a car.,,
100,9914,http://images.cocodataset.org/val2017/000000009914.jpg,Partially eaten hamburger on a plate with fries and condiments. ,A sandwich on a sesame seed bun next to a pile of french fries and a cup of ketchup.,"A plate of food which includes onions, tomato, lettuce, sauce, fries, and a sandwich.","A sandwich, french fries, bowl of ketchup, onion slice, lettuce slice, tomato slice, and knife sit on the white plate.",A grilled chicken sandwich sits beside french fries made with real potatoes. ,,
101,10092,http://images.cocodataset.org/val2017/000000010092.jpg,Bed in room with candles covered by a mosquito net,A bed in a hut covered in a bug net.,A green netted bed in a light filled bedroom.,A bed with lots of pillows and blankets under a canopy.,Bed covered in mosquito netting in a bedroom with windows on three walls.,,
102,10363,http://images.cocodataset.org/val2017/000000010363.jpg,A gray cat on the hood of a black car,A cat standing on the hood of a car.,A cat sitting on the hood of a parked black car in a garage.,Grey color cat standing on hood of car in garage,A gray cat standing on top of a black car.,,
103,10583,http://images.cocodataset.org/val2017/000000010583.jpg,A white plate sitting on a table filled with food. ,A large pile of food on a plate with knife.,A white plate with a pile of food on it.,Plate of food with gravy on mesh table with knife,a plate of meat topped with potatoes veggies and gravy,,
104,10707,http://images.cocodataset.org/val2017/000000010707.jpg,A man standing in a living room holding a Nintendo Wii game controller.,A man playing a video game while two men sit on a couch. ,Man with video game controller in living room with onlooker seated nearby.,A man holding a motion controlled video game controller,Three people with cups on the couch and one with remote standing,,
105,10764,http://images.cocodataset.org/val2017/000000010764.jpg,A catcher squatting at a base with his gloved hand extended.,A catcher in white uniform during a baseball game.,a catcher kneeling at the mound waiting for a baseball ,A baseball catcher stands ready to catch a ball.,A catches crouches on a patch of dirt.,,
106,10977,http://images.cocodataset.org/val2017/000000010977.jpg,A bath and a toilet in a small room.,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,A toilet lid is closed next to a bathtub with a white curtain and pink tile wall.,this bathroom has pink tiles in the shower and is painted blue,A bathroom with blue walls and pink tile.,,
107,10995,http://images.cocodataset.org/val2017/000000010995.jpg,The bedroom with the bedspread is dimly lit.,The neatly made bed is beside an open window.,A bed is very close to a window with dark curtains.,A hotel room scene with focus on the bed and the window.,A small room with a bed and window letting in light.,,
108,11051,http://images.cocodataset.org/val2017/000000011051.jpg,"A young girl wearing a formal dress, and young man in a tie.",Girl looks back as she fixes flower on boy's suit,A girl puts a flower on the lapel of a boys coat. ,A girl pins a bouttoniere on the lapel of her date.,A woman pinning a flower onto a man's blazer.,,
109,11122,http://images.cocodataset.org/val2017/000000011122.jpg,A gated grassy noel has a shorted stop sign stuck in part of the land.,A stop sign behind a green chain link fence.,a stop sign is in grass behind a fence,The stop sign is behind the fence instead of on the street.,A red stop sign behind a chain link fence.,,
